"service_id","date","exception_type"
"GO102_1519","20150930","1"
"GO102_1519","20151001","1"
"GO102_1519","20151002","1"
"GO102_1519","20151005","1"
"GO102_1519","20151006","1"
"GO102_1519","20151007","1"
"GO102_1519","20151008","1"
"GO102_1519","20151009","1"
"GO102_1519","20151012","1"
"GO102_1519","20151013","1"
"GO102_1519","20151014","1"
"GO102_1519","20151015","1"
"GO102_1519","20151016","1"
"GO102_1519","20151019","1"
"GO102_1519","20151020","1"
"GO102_1519","20151021","1"
"GO102_1519","20151022","1"
"GO102_1519","20151023","1"
"GO102_1519","20151026","1"
"GO102_1519","20151027","1"
"GO102_1519","20151028","1"
"GO102_1519","20151029","1"
"GO102_1519","20151030","1"
"GO102_1519","20151102","1"
"GO102_1519","20151103","1"
"GO102_1519","20151104","1"
"GO102_1519","20151105","1"
"GO102_1519","20151106","1"
"GO102_1519","20151109","1"
"GO102_1519","20151110","1"
"GO102_1519","20151111","1"
"GO102_1519","20151112","1"
"GO102_1519","20151113","1"
"GO102_1520","20151017","1"
"GO102_1520","20151018","1"
"GO102_1520","20151024","1"
"GO102_1520","20151025","1"
"GO102_1520","20151031","1"
"GO102_1520","20151101","1"
"GO102_1520","20151107","1"
"GO102_1520","20151108","1"
"GO102_1520","20151114","1"
"GO102_1520","20151115","1"
"GO102_1521","20150912","1"
"GO102_1521","20150913","1"
"GO102_1521","20150919","1"
"GO102_1521","20150920","1"
"GO102_1521","20150926","1"
"GO102_1521","20150927","1"
"GO102_1521","20151003","1"
"GO102_1521","20151004","1"
"GO102_1521","20151010","1"
"GO102_1521","20151011","1"
"GO102_1522","20150913","1"
"GO102_1522","20150920","1"
"GO102_1522","20150927","1"
"GO102_1522","20151004","1"
"GO102_1522","20151011","1"
"GO102_1523","20150913","1"
"GO102_1523","20150920","1"
"GO102_1523","20150927","1"
"GO102_1523","20151004","1"
"GO102_1523","20151011","1"
"GO102_1523","20151018","1"
"GO102_1523","20151025","1"
"GO102_1523","20151101","1"
"GO102_1523","20151108","1"
"GO102_1523","20151115","1"
"GO102_1524","20150913","1"
"GO102_1524","20150920","1"
"GO102_1524","20150927","1"
"GO102_1524","20151004","1"
"GO102_1524","20151011","1"
"GO102_1524","20151018","1"
"GO102_1524","20151025","1"
"GO102_1524","20151101","1"
"GO102_1524","20151108","1"
"GO102_1524","20151115","1"
"GO102_1525","20150912","1"
"GO102_1525","20150913","1"
"GO102_1525","20150919","1"
"GO102_1525","20150920","1"
"GO102_1525","20150926","1"
"GO102_1525","20150927","1"
"GO102_1525","20151003","1"
"GO102_1525","20151004","1"
"GO102_1525","20151010","1"
"GO102_1525","20151011","1"
"GO102_1525","20151017","1"
"GO102_1525","20151018","1"
"GO102_1525","20151024","1"
"GO102_1525","20151025","1"
"GO102_1525","20151031","1"
"GO102_1525","20151101","1"
"GO102_1525","20151107","1"
"GO102_1525","20151108","1"
"GO102_1525","20151114","1"
"GO102_1525","20151115","1"
"GO102_1526","20150912","1"
"GO102_1526","20150913","1"
"GO102_1526","20150919","1"
"GO102_1526","20150920","1"
"GO102_1526","20150926","1"
"GO102_1526","20150927","1"
"GO102_1526","20151003","1"
"GO102_1526","20151004","1"
"GO102_1526","20151010","1"
"GO102_1526","20151011","1"
"GO102_1526","20151017","1"
"GO102_1526","20151018","1"
"GO102_1526","20151024","1"
"GO102_1526","20151025","1"
"GO102_1526","20151031","1"
"GO102_1526","20151101","1"
"GO102_1526","20151107","1"
"GO102_1526","20151108","1"
"GO102_1526","20151114","1"
"GO102_1526","20151115","1"
"GO102_1527","20150912","1"
"GO102_1527","20150913","1"
"GO102_1527","20150919","1"
"GO102_1527","20150920","1"
"GO102_1527","20150926","1"
"GO102_1527","20150927","1"
"GO102_1527","20151003","1"
"GO102_1527","20151004","1"
"GO102_1527","20151010","1"
"GO102_1527","20151011","1"
"GO102_1528","20150913","1"
"GO102_1528","20150920","1"
"GO102_1528","20150927","1"
"GO102_1528","20151004","1"
"GO102_1528","20151011","1"
"GO102_1528","20151018","1"
"GO102_1528","20151025","1"
"GO102_1528","20151101","1"
"GO102_1528","20151108","1"
"GO102_1528","20151115","1"
"GO102_1529","20150912","1"
"GO102_1529","20150919","1"
"GO102_1529","20150926","1"
"GO102_1529","20151003","1"
