"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"10","GO102_1573","GO102_157718","Huntington","7718","0","92"
"10","GO102_1573","GO102_157719","Penn Station","7719","1","91"
"10","GO102_1544","GO102_157720","Huntington","7720","0","92"
"10","GO102_1573","GO102_157721","Penn Station","7721","1","91"
"10","GO102_1573","GO102_157722","Huntington","7722","0","92"
"10","GO102_1573","GO102_157723","Penn Station","7723","1","91"
"10","GO102_1544","GO102_157724","Huntington","7724","0","92"
"10","GO102_1573","GO102_157725","Penn Station","7725","1","91"
"10","GO102_1573","GO102_157726","Huntington","7726","0","92"
"10","GO102_1573","GO102_157727","Penn Station","7727","1","91"
"10","GO102_1544","GO102_157728","Huntington","7728","0","92"
"10","GO102_1573","GO102_157729","Penn Station","7729","1","91"
"10","GO102_1573","GO102_157730","Huntington","7730","0","92"
"10","GO102_1573","GO102_157731","Penn Station","7731","1","91"
"10","GO102_1544","GO102_157732","Huntington","7732","0","92"
"10","GO102_1573","GO102_157733","Penn Station","7733","1","91"
"10","GO102_1573","GO102_157734","Huntington","7734","0","92"
"10","GO102_1573","GO102_157735","Penn Station","7735","1","91"
"10","GO102_1544","GO102_157736","Huntington","7736","0","92"
"10","GO102_1573","GO102_157737","Penn Station","7737","1","91"
"10","GO102_1573","GO102_157738","Huntington","7738","0","92"
"10","GO102_1573","GO102_157739","Penn Station","7739","1","91"
"10","GO102_1544","GO102_157740","Huntington","7740","0","92"
"10","GO102_1573","GO102_157742","Huntington","7742","0","92"
"10","GO102_1573","GO102_157743","Penn Station","7743","1","91"
"10","GO102_1544","GO102_157744","Huntington","7744","0","92"
"10","GO102_1573","GO102_157745","Penn Station","7745","1","91"
"10","GO102_1544","GO102_157746","Huntington","7746","0","92"
"10","GO102_1573","GO102_157747","Penn Station","7747","1","91"
"4","GO102_1573","GO102_158000","Ronkonkoma","8000","0","99"
"4","GO102_1583","GO102_158001","Penn Station","8001","1","100"
"4","GO102_1573","GO102_158002","Ronkonkoma","8002","0","99"
"4","GO102_1583","GO102_158003","Penn Station","8003","1","100"
"4","GO102_1573","GO102_158004","Ronkonkoma","8004","0","99"
"4","GO102_1583","GO102_158005","Penn Station","8005","1","100"
"4","GO102_1573","GO102_158006","Ronkonkoma","8006","0","99"
"4","GO102_1583","GO102_158007","Penn Station","8007","1","100"
"4","GO102_1573","GO102_158008","Ronkonkoma","8008","0","99"
"4","GO102_1583","GO102_158009","Penn Station","8009","1","100"
"4","GO102_1573","GO102_158010","Ronkonkoma","8010","0","99"
"4","GO102_1583","GO102_158011","Penn Station","8011","1","100"
"4","GO102_1573","GO102_158012","Ronkonkoma","8012","0","99"
"4","GO102_1583","GO102_158013","Penn Station","8013","1","100"
"4","GO102_1573","GO102_158014","Ronkonkoma","8014","0","99"
"4","GO102_1583","GO102_158015","Penn Station","8015","1","100"
"4","GO102_1573","GO102_158016","Ronkonkoma","8016","0","99"
"4","GO102_1583","GO102_158017","Penn Station","8017","1","100"
"4","GO102_1573","GO102_158018","Ronkonkoma","8018","0","99"
"4","GO102_1583","GO102_158019","Penn Station","8019","1","100"
"4","GO102_1573","GO102_158050","Ronkonkoma","8050","0","99"
"4","GO102_1583","GO102_158051","Penn Station","8051","1","100"
"4","GO102_1573","GO102_158052","Ronkonkoma","8052","0","99"
"4","GO102_1583","GO102_158053","Penn Station","8053","1","100"
"4","GO102_1573","GO102_158054","Ronkonkoma","8054","0","99"
"4","GO102_1583","GO102_158055","Penn Station","8055","1","100"
"4","GO102_1573","GO102_158056","Ronkonkoma","8056","0","99"
"4","GO102_1583","GO102_158057","Penn Station","8057","1","100"
"4","GO102_1573","GO102_158058","Ronkonkoma","8058","0","99"
"4","GO102_1583","GO102_158059","Penn Station","8059","1","100"
"4","GO102_1573","GO102_158060","Ronkonkoma","8060","0","99"
"4","GO102_1583","GO102_158061","Penn Station","8061","1","100"
"4","GO102_1573","GO102_158062","Ronkonkoma","8062","0","99"
"4","GO102_1583","GO102_158063","Penn Station","8063","1","100"
"4","GO102_1573","GO102_158064","Ronkonkoma","8064","0","99"
"4","GO102_1583","GO102_158065","Penn Station","8065","1","100"
"4","GO102_1573","GO102_158066","Ronkonkoma","8066","0","99"
